CourseID0;CourseName0;InstructorName41
CourseID1;CourseName1;InstructorName5;InstructorName33;InstructorName9
CourseID2;CourseName2;InstructorName6
CourseID3;CourseName3;InstructorName24
CourseID4;CourseName4;InstructorName10;InstructorName45
CourseID5;CourseName5;InstructorName27;InstructorName6;InstructorName33
CourseID6;CourseName6;InstructorName33
CourseID7;CourseName7;InstructorName49
CourseID8;CourseName8;InstructorName44
CourseID9;CourseName9;InstructorName9
CourseID10;CourseName10;InstructorName12;InstructorName25;InstructorName5
CourseID11;CourseName11;InstructorName11
CourseID12;CourseName12;InstructorName26
